Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
351,48193,18.9975,-22.1845,224.847,226.736
352,48199,15.6639,-18.9225,225.42,226.754
353,48200,15.6798,-19.4821,226.612,227.988
354,48201,14.9018,-18.8073,226.521,227.789
355,48202,14.7864,-18.254,225.442,226.663
356,48203,16.5403,-19.9271,225.951,227.43
357,48221,14.1414,-18.0163,225.98,227.137
358,48276,2.47693,-56.7812,228.887,235.837
359,48278,5.64435,-56.4547,228.586,235.522
360,48279,4.62965,-56.4992,228.904,235.819
361,48280,5.63475,-57.0947,227.37,234.496
362,48281,6.40043,-56.9359,227.293,234.403
363,48282,7.27437,-56.4238,227.788,234.785
364,48283,6.65897,-56.2025,228.537,235.44
365,48284,7.8963,-55.8142,228.496,235.346
366,48285,9.886,-55.7307,227.148,234.094
367,48286,8.49811,-56.3184,227.152,234.183
368,48287,9.88302,-55.1433,228.228,235.003
369,48288,8.94529,-55.7996,227.807,234.712
370,48289,8.82138,-55.238,228.849,235.586
371,48290,11.8426,-54.7128,227.095,233.893
372,48291,10.8804,-55.2601,227.094,233.974
373,48292,10.9129,-54.6793,228.122,234.837
374,48299,11.9181,-54.0661,228.159,234.781
375,48300,12.6068,-54.2724,227.018,233.755
376,48301,13.0116,-53.6589,227.615,234.216
377,48302,13.9244,-53.0375,227.492,234.008
378,48303,13.1402,-52.9801,228.542,234.97
379,48304,14.6726,-52.7857,226.856,233.377
380,48310,15.6228,-51.8901,226.917,233.298
381,48311,14.9914,-52.0845,227.564,233.929
382,48312,14.511,-52.0142,228.32,234.619
383,48313,15.6682,-51.042,228.154,234.319
384,48314,16.3526,-50.8185,227.441,233.622
385,48320,17.8678,-48.4181,228.173,233.937
386,48321,18.0307,-48.9818,227.148,233.068
387,48322,17.4163,-49.9086,226.969,233.043
388,48323,17.3407,-49.2722,227.987,233.894
389,48324,16.6892,-49.9364,228.158,234.155
390,48330,18.4295,-48.0971,227.552,233.308
391,48331,18.3469,-47.2095,228.731,234.271
392,48332,19.1981,-46.293,228.172,233.611
393,48333,18.9276,-47.2882,227.592,233.222
394,48334,19.6819,-46.3557,227.103,232.62
395,48339,20.7109,-43.8638,227.142,232.264
396,48340,20.1215,-45.3267,227.213,232.562
397,48341,20.1199,-44.394,228.076,233.226
398,48342,19.6721,-45.2946,228.223,233.504
399,48346,20.3345,-43.466,228.344,233.332
400,48347,20.4931,-42.6342,228.58,233.423
401,48348,20.8699,-41.9815,228.104,232.872
402,48349,21.0728,-42.6637,227.111,232.043
403,48354,21.3284,-41.6172,227.089,231.854
404,48355,20.8348,-40.9819,228.712,233.287
405,48356,21.2163,-40.9667,227.745,232.371
406,48357,21.2413,-39.8272,228.167,232.589
407,48358,21.6398,-39.7964,227.017,231.492
408,48362,21.3773,-38.7071,228.143,232.389
409,48363,21.4787,-37.5846,228.077,232.149
410,48364,21.8318,-37.5507,226.972,231.091
411,48369,21.8723,-36.4514,226.93,230.877
412,48370,21.533,-36.4994,228.042,231.946
413,48371,21.5624,-35.4026,227.984,231.722
414,48372,21.8118,-35.0672,227.152,230.875
415,48377,21.5691,-34.3115,227.919,231.494
416,48378,21.6134,-33.2928,227.738,231.171
417,48383,21.8377,-32.3376,226.84,230.172
418,48384,21.4916,-32.2853,227.9,231.177
419,48385,21.3716,-31.1861,227.919,231.033
420,48386,21.6992,-31.0447,226.906,230.046
421,48392,21.4871,-29.6384,226.871,229.805
422,48393,21.2167,-30.1665,227.906,230.871
423,48394,20.9892,-29.1194,227.92,230.729
424,48400,21.1701,-28.3204,226.888,229.626
425,48401,20.7043,-28.0868,227.918,230.573
426,48402,20.3388,-27.1222,227.989,230.496
427,48403,20.7486,-27.027,226.906,229.45
428,48408,19.8612,-25.0357,226.961,229.2
429,48409,19.6296,-25.465,227.974,230.23
430,48410,19.9872,-26.4738,228.194,230.592
431,48411,20.1846,-26.0677,227.348,229.726
432,48412,20.3975,-25.9639,226.708,229.099
433,48420,19.4332,-24.2129,226.934,229.048
434,48421,19.0458,-24.3717,227.976,230.064
435,48422,18.9827,-23.4177,226.856,228.85
436,48423,18.5529,-23.2665,227.555,229.493
437,48424,18.061,-23.3665,228.628,230.527
438,48431,17.5181,-21.8281,227.455,229.171
